MD,m_Sigma,m_Lambda,m_Phi,m_G
1060.4453471308018,271352.14168660436,831977.013513284,7718.832282004771,6.623784851991064E+15
590.8056945940635,122246.2863915622,1.0708861589809242E+6,1.1045534994246157E+7,5.495432746977638E+15
347.26660996795033,1980.015225407611,2527.4025729679774,22350.22643507556,2.0228840090775004E+16
139.04212647721852,1.8853860579938624E+7,1.4281128713143924E+7,3686.8581216160333,4.542643755258297E+15
107.77154874123971,3808.747964960366,105658.54130969575,1.906834069533525E+13,7.542122745850958E+15
103.10308156400026,419.8497902256505,3744.4022337637152,1.6529001888571834E+16,2.5277476442698892E+16
459.65516182456355,104964.74784037576,20024.698925054072,14299.084226063782,2.77670316796574E+16
671.8679473962992,426.6417656339632,2714.69505773095,1.7859551053926495E+10,2.3012154837590468E+16
317.66624959653893,787.021896370491,40553.08512758204,2.283749767941227E+15,1.051987600812321E+16
179.5519906589443,4.350963350849502E+7,1.9998157351200604E+8,4.427631048070244E+10,3.3017467775555615E+15
482.1897634750459,123718.89963697779,257815.3694221142,2.9656703727836907E+6,1.0290911185996618E+16
143.4825425771612,501852.3577868993,928775.0595909664,8900.352860128121,5.546469473373306E+15
345.34673660546974,9567.138290452533,247288.02124700125,2.426739407669147E+10,6.163571418969657E+15
114.57606971733061,3902.6728951885393,4029.656682389591,7.485720508887138E+6,2.1274050176018596E+16
127.62097547489728,139517.91193982642,515995.40936225286,1.5663398023375514E+9,7.877996093541754E+15
478.5124101900461,388.6124083435419,109.30143680700071,3.6033798119291884E+8,8.928787828846066E+16
1165.8606234717788,10133.56651097312,23092.466284522594,2.1252784190562428E+10,2.5043237864862584E+16
816.6337027788443,122892.82910773442,3.961219097503013E+6,1.1523478705960508E+7,3.026353904958354E+15
995.1867355317929,199039.9304058632,6.006690617359228E+6,6.622016264492955E+14,6.279752969704543E+15
835.3902379865639,156935.07967678955,1.2167252254668558E+6,5.410562808149409E+15,1.3664650260190852E+16
736.7670236997576,2.48936937653633E+6,5.8094193559875906E+7,1.9255714016256797E+14,4.2344453255493695E+15
614.2776370601707,14498.349596026457,78320.5967742601,853286.5463768945,9.03190508359155E+15
104.42077910386962,3.9451141428169124E+6,6.772500603126221E+6,272.0327379485513,3.349452320741861E+15
305.43122253788147,3089.4083477757995,2061.2083287393243,2.775356847189311E+7,3.4219693508274132E+16
439.216059465829,1.8380904023684366E+6,4.927553667222065E+6,2034.1210134672676,4.2058789954148255E+15
184.98134169871867,2032.0771074784495,882.3871905504079,5.475972733886679E+6,3.910171168776932E+16
165.4693380084341,357847.5104873114,8.687722557531627E+6,9.699864317478445E+14,4.783758907908191E+15
145.7418965253782,1.0310534030633488E+6,845930.8284870726,1.4542637727536313E+7,1.0082198897854274E+16
104.79639741483325,1.7613235429184388E+6,1.2888021445864828E+6,1950.0141763634415,6.374077198219813E+15
250.5469166134019,1.035343034684242E+6,2.364064468908266E+6,2.2545635085996426E+13,1.1971419304090244E+16
1042.3158268422665,422566.55343165266,357125.86341744,1.3955367150089357E+6,1.4510195405034514E+16
618.8153942212718,269.79626774961775,488.07322285188576,666.4259928638197,2.253066974154534E+16
234.92281634304734,2189.39657994318,24122.703714533473,4.149212868309308E+12,1.4024455966002464E+16
1115.0116867735492,194.19422447167946,1598.081698848272,2.4720698291688925E+14,3.73500751018986E+16
865.4149887880823,464.75182066423025,3057.31116283592,3.800949029834546E+14,3.5252632026505096E+16
365.1137292573913,167.15031439623084,110.69277649164628,2.846159266789202E+6,5.2327463591550456E+16
208.17828314413188,1927.218597556348,2385.2547331798883,5.778733547846333E+15,5.66387038219769E+16
182.29498723345807,1.0191404612601086E+6,1.5190832761934357E+7,3.275247994276912E+10,3.3934356431528555E+15
108.32427966477503,10430.750473445873,93600.67020051037,1.981242002222971E+7,6.319952820845553E+15
624.3467704211953,4633.010627379219,13383.64675002658,3678.563408574266,1.1937027732222248E+16
311.70300591150107,514284.1265034186,584768.2002361052,4.0115426463836357E+6,1.034567278327029E+16
303.26849272936437,335194.03873472015,1.2128670627130165E+6,7.941406251808851E+8,7.728238804976175E+15
414.5271818479077,7641.315424931345,11424.143431815613,1.9024778753919363E+11,2.9885656693340444E+16
799.5900522386299,573602.9004395377,1.3064840114646992E+7,1.692588696835129E+14,5.519596979274023E+15
184.27767624846823,2391.18450358542,6735.84330691625,1757.7208222896206,1.0679432448023918E+16
461.3984582989581,4.1253536699648295E+6,3.39821407604106E+6,725881.0716643109,8.540799847423257E+15
440.07598730068355,17557.51610006921,445906.65044191567,1.0061645437707446E+11,6.208494524769448E+15
174.2538678601363,265948.0012915906,544931.7947886087,2.1018562124461648E+9,1.0134946579050484E+16
501.29836554926993,213.64575670359102,211.9438025557527,2.4608486240020562E+14,9.265177559103461E+16
681.9829953573683,2.361135467030697E+6,4.026023741747559E+7,1.5069616214972828E+13,4.4368364108179455E+15
496.82081828060313,202397.17796185997,269020.61670703994,1.5533898802652494E+6,1.1612706533111626E+16
467.2033339626669,4777.594552280622,9906.492329000559,5.428801121450937E+6,1.8102069473099836E+16
1025.953937927334,5.541178363087414E+6,2.1244766881131742E+7,8.280720868203288E+10,6.994719548621465E+15
256.83023036223454,1.3095514333918265E+6,1.4863779728599205E+6,6.4920250021733465E+9,1.1673144251752414E+16
211.2279645768546,145042.14821533745,695613.5599825736,2.728801640530475E+10,8.4209202408824E+15
831.522209444297,6949.672629755161,46274.905885262386,2.859399984821651E+6,1.0171707710200104E+16
150.5913944075904,57739.36048408233,337427.86624330207,1.369750844339955E+6,5.565211918854114E+15
589.9408368738113,3802.453031952838,232370.64917752126,1.6905845107588498E+13,6.714108607958376E+15
379.7018660797994,7.845834686519718E+6,4.518519472622131E+6,126431.3733325599,8.259507356281199E+15
280.8116074466602,27023.257279167512,34804.537814982716,2.297736596466085E+13,2.9851952871406548E+16
304.6804801256744,287.6330799273509,2887.4736373615783,1.3812498233917508E+15,2.741116390282949E+16
213.70176677868994,9830.290959727008,48537.957532733766,3.1534565580879885E+8,1.081401442496234E+16
692.9258779466378,3.138787390372257E+7,3.587058498434857E+8,2.7504251748545625E+12,3.2889880189821525E+15
970.4410848539392,7824.732870075948,18741.963617056474,5.608576262198327E+14,3.780368318620333E+16
135.97359993604664,22023.21039276072,4806.214434566931,6.647772180337344E+6,3.5508637385825348E+16
383.57608517833813,18102.3900838906,10298.942030966411,3920.9817149854393,1.9813922902508948E+16
114.24186028516125,7.493275712203832E+7,3.720843695539317E+7,1129.8553272399738,4.1068116465433805E+15
261.3775720743854,862.6103297942863,345.6357312948308,2.9343591975399957E+9,6.462612350929248E+16
399.34378279899676,63504.183397407185,33757.43001298843,1.5970063157549014E+9,2.8676960606499696E+16
236.41955489524977,123366.80453429316,394469.16426242166,1765.0391020602126,5.41638678384876E+15
358.830541200719,18827.838716751023,516946.0692093962,1.820616621771339E+10,5.312386204652592E+15
278.90532023745124,142792.04816919303,3.147539685588483E+6,9.009136814247645E+8,3.5784237222411355E+15
321.80610634435635,2.633665556942879E+7,9.6888308096664E+7,1.846482424665532E+9,3.8740871179249575E+15
640.665133826775,5.647893391545638E+8,5.83086183433191E+8,16406.400564860847,3.0309675665595495E+15
121.82035125098008,271.24708537570405,1102.4980316057038,9.133268992122327E+13,3.3342662908488936E+16
449.43697450392085,46036.566080650686,32066.887190340916,194.3047070610978,1.388541746921411E+16
368.93422969859034,16972.188297207136,2908.566389332952,212743.8787017994,4.282000935480464E+16
520.0697981241326,285.72542808582665,1145.0362309762675,2.4391141888924932E+16,5.351469553932076E+16
207.73012465968918,12507.865819883596,59620.884948271494,9063.427372250006,6.806445839906753E+15
585.6876565976187,801.636332581858,1050.907122194789,2.3155226665626636E+9,4.096721581181916E+16
252.29202040581683,1.691666463324321E+7,1.2002400555392878E+7,241205.7254926246,6.282642619947209E+15
425.97275582648354,3644.845697077105,30886.07901368374,8.648195057788367E+12,1.672509616901229E+16
488.2119219528536,778709.6663286785,1.763321454838568E+6,143.9141013865558,4.81286016700637E+15
995.4202408856778,3.0335548314828042E+7,4.016653798700961E+7,1.5329091829063844E+7,6.23549271856561E+15
910.5768566454499,4.845730821475921E+6,1.7602051095533557E+7,96044.36396683406,4.076135863040906E+15
658.6829313782058,193.6121495497366,219.86118459380432,8.093214484742427E+10,6.5959263435221336E+16
190.30940425534752,77663.8735742386,3.1358344301014445E+6,2.980151814700887E+10,3.176785265645507E+15
780.4105758481835,53527.6693744843,1.203925171151781E+6,7.584724519743425E+13,7.943876409383141E+15
1002.7478002296855,4893.641645110568,62772.33557128714,6.509631421082555E+14,1.7872205316765442E+16
472.6412739536542,424564.901178448,1.713831349128972E+6,8.871102747622462E+15,1.4893831195236938E+16
285.70618732628816,120942.04756586523,475134.37622935156,4.7125634648466986E+11,1.1356503403720186E+16
461.5381667532069,5.113719581869487E+7,1.7100431517086503E+8,8.778884984002695E+8,3.7454854108893965E+15
472.6743321081747,36112.227302083564,627927.4920351993,8.109341410208904E+15,1.078084602973304E+16
169.7252881409621,3.2752551953788134E+6,5.313729846871163E+7,1.9743533540575156E+13,3.454648559478666E+15
710.3334290389199,140.6024466149681,828.4556805873457,2.0690001424783444E+14,4.288954917602914E+16
165.0327914988977,5982.168625023769,10187.579255695016,226067.98753486318,1.416969439272703E+16
568.3494315648261,146.6335337696312,4846.757230701694,1.1202239115817833E+14,1.6888736956959442E+16
548.203719503193,12886.983484497981,250932.5650142432,6.752445707569311E+6,5.18893086807428E+15
374.446116550728,27850.322638030295,77160.56935854428,9.87583866279638E+15,2.7353061029789188E+16
324.96453330628424,2923.760583499762,31710.306704131075,5.307151843495244E+7,8.891541018016664E+15
1193.2850479155597,423.55480517099255,957.0162628742299,1.0181832733490572E+10,4.156378518636493E+16
146.81775850033648,236.11994043681253,232.78042003932978,2.401523659277134E+9,4.605843181630368E+16
608.1757552237457,1.5270312777895784E+7,3.520233099139089E+7,1.7972244454660293E+7,4.913206054754821E+15
161.46671390164653,970183.7911920758,8.011581729460999E+6,1.0650322167839234E+9,3.905418550308829E+15
464.37910732737,396192.95758733083,3.5720827016322333E+6,1.383978469135681E+13,7.678718799439062E+15
594.7436340860411,880.6240637811699,207.03039977179037,999.9547810589102,5.1846809469448584E+16
152.81416966007595,1.0191099131712742E+6,2.761353549203072E+6,3.6096166897584484E+6,5.286751724023501E+15
1186.725604235945,996.3148883682982,3728.4491946124967,2.8741625319515876E+6,1.9904558422578236E+16
173.325377428673,675153.5818457883,3.035583101858323E+6,1.953272514875457E+9,5.834809807011498E+15
147.08314129042682,1564.3363274803464,8164.02398740713,3.269436323565767E+12,1.973677507886049E+16
359.36572445342046,127.41438423784626,1139.3590937856384,9.694099773933933E+13,3.0609614530961052E+16
407.15909499665077,16238.268239522686,42214.4863671633,7.390000695088334E+8,1.5813383029817238E+16
488.5529337088041,1457.471199007941,468.6491297190709,1.37188011877268E+8,6.4575973528112344E+16
104.31727848374292,1.4056568052065533E+7,1.978271515473083E+7,2.944526262066203E+8,5.339573882520313E+15
316.9181774979674,1127.3472079149892,50175.81567600215,1.749740201844024E+13,8.699117542427654E+15
278.18806497859094,76243.01222026393,1.513104256282457E+6,8.979684723666702E+11,5.580365537910341E+15
227.62282717901562,39041.40944374611,110083.42562365888,1.0996857257824986E+14,1.9558000501669216E+16
488.8443528663048,8.460327736207947E+6,9.863518620767945E+6,70145.62383130443,5.834178118729117E+15
218.31750644793092,2669.7000980485864,2573.4491034247294,1.4369743414025867E+7,2.683652431118461E+16
118.16752179160454,5.051928917362571E+6,1.887015530059534E+6,1488.117730019889,7.550267635321869E+15
134.30538321446429,308.07630021533845,400.41178431782646,3.3725873489448112E+10,4.220865109989258E+16
155.95939130592419,16397.68461406959,27291.767892722488,5.4183518681827256E+14,2.9517494799877056E+16
326.70265700131586,92122.57005138906,172121.5881472783,981.3231774834481,7.661433819027018E+15
243.25358312676428,29902.51765130828,42986.14448636135,2.909704259521921E+9,1.8663654202078304E+16
155.9723855613201,182.35817040688315,157.50589941747134,5.3700909987188153E+11,6.501375974765005E+16
104.2112294851217,17303.472617764466,5759.7095021400755,5.2070209829665554E+8,3.4338069358293424E+16
179.1982882587869,1.9907256079778133E+6,2.3567108051116425E+6,69809.4843704061,6.232431253444875E+15
1060.386754758035,663.9694325054782,28905.809409627604,4.84803198608909E+11,1.0118609518477252E+16
705.0909496441096,77032.41412957745,3.0215434480637773E+6,4.452270917986406E+12,4.946104280605261E+15
643.5872297468786,9.384092307029141E+7,1.5669416101908723E+8,680212.1090094597,3.756821261356933E+15
887.464056177902,38405.67892357132,71238.02357861088,1.2398682083751782E+11,2.2861940581975004E+16
886.0199068102651,20369.572589320567,672980.839433834,1.2446473907532438E+15,8.836526094956163E+15
559.8349072088771,1.1249933944671487E+6,4.0444271995582366E+6,591505.538394637,5.198577515653714E+15
623.6773492318957,14665.921383601868,189731.33821804827,596434.5251094508,5.753473603759391E+15
994.2245327634956,85144.41782345311,632855.2220386568,11416.389467254654,5.189582484134655E+15
400.32573819133177,4.4692080339097725E+6,6.027840387377562E+7,1.7350014365087375E+11,3.4076671043463045E+15
233.83955300799613,5.370692528175111E+6,1.0166424071311295E+7,4.999667392110922E+12,9.278041108175504E+15
125.630750035452,44946.95669496452,24403.536298626055,6540.257080387065,1.4782943695152866E+16
313.3493968763296,5.7028839504340645E+6,2.371054714072495E+6,12033.613752899082,9.001954253582508E+15
978.7880687791212,128502.08453627863,38052.28125630481,257.91979127920587,2.067574238507938E+16
629.1742900971174,14478.533392722136,7421.039897820565,1.7481475931925097E+8,3.675641567093256E+16
330.96732141013763,4.63538434771726E+6,1.4554518756084756E+6,1310.0986898518488,9.865890161708728E+15
511.7546278756051,2.645548497298016E+7,4.774935817734321E+7,669480.9372949281,4.292321991912391E+15
272.3980963917042,170277.2901391986,1.0341142610121433E+7,3.3813308788300234E+13,3.234213921035749E+15
600.1732457155449,136.4236906798141,8660.474414276185,3.492449302129774E+14,1.305039673824603E+16
984.8332487260569,212784.06757402985,4.413437248215894E+6,1.8308957967430046E+10,4.828928301601138E+15
441.3175334123045,363185.0794455507,1.285342502576418E+6,3.5813044163245044E+14,1.4119898620315722E+16
469.4757736329241,22602.971102704905,249794.558185998,8.571423001992177E+8,7.478787462240171E+15
289.07874967319924,26304.973301753114,268871.58700581896,2.4152416411407446E+6,5.475884976963425E+15
921.8797329526531,62566.52090726044,526795.2649726599,7.369392035712164E+14,1.4298918777557004E+16
253.25654842872524,347071.65197364235,2.5266908231794382E+6,6.557242471229559E+9,5.739956397019579E+15
371.74600877069287,3597.3234165763647,40746.305167892686,8.967583302809944E+14,1.7196484444237498E+16
144.13242493214466,162591.86781589934,79553.83092267803,4247.793076753568,1.2630607643654666E+16
361.8666729957987,852205.3808277489,1.5223613906003085E+6,3.554360813913616E+8,9.376709669932796E+15
294.5371574041989,561474.9080673144,735252.4422664628,144571.06757604112,8.194202975552685E+15
187.11767247827754,50977.342673645646,35397.14138014596,10215.45812489336,1.3935886866167012E+16
1016.6944798511876,75046.48936156106,1.295723612550092E+6,2.242043027448148E+6,4.3492791249963825E+15
102.83763540432905,515378.27734038053,5.560232392887997E+6,4.047738834132192E+15,6.620785685822895E+15
149.03502496937256,27141.20313285233,50468.450963249605,1.8250548076564484E+13,2.212529293972905E+16
247.16712024539004,12277.053176427682,259722.04159220034,1.2361556884487371E+10,6.009890669552805E+15
103.61145218459882,2252.5552361167875,2559.950148987661,234770.97029756298,1.8918018117377884E+16
309.3374855875633,918.6928579851838,3586.7691442214546,2.069912385898929E+9,2.0766497588519868E+16
284.8033431535003,3.951627495362792E+6,3.256350675231114E+6,149.50015923750507,5.572055453497499E+15
867.3174534962986,188.74105667783505,19927.966266551186,7.747408065560891E+15,1.1598182409551254E+16
505.8040429212069,1736.711380235433,2541.1693456062103,4.343682049918335E+10,3.7588498529154136E+16
131.0484644113391,90453.04893933627,112448.88915983924,1.0144278619672226E+9,1.4407306261859278E+16
549.7770401557171,6231.71225742904,16987.23195730028,8.885993148031385E+14,3.4128963770096052E+16
108.69368243491094,358.8225613276199,668.4809096517689,2.0457282659992147E+6,2.213890936413711E+16
118.87190786196497,828758.5186614918,2.3733253119327586E+7,9.894296360619014E+13,3.295133704377059E+15
259.46207101328787,13299.049834553887,139712.30379960872,1.1134710769849074E+16,1.502109449309063E+16
238.70943112877018,3706.3025762227057,20899.969136349595,5.4429080122283203E+11,1.654373077551664E+16
222.54927266657947,241427.85074489785,383906.014517585,8063.905791811267,7.242944981367779E+15
671.2345057469179,6499.254266606849,80753.00505763297,2.279757240633379E+13,1.4088161836552578E+16
199.73134934134754,212927.11919853356,17073.833821693963,174.3796628948622,2.7572084337146092E+16
160.4453108117729,1.357000732820643E+8,5.507410412858881E+7,9485.533990728036,4.757803308884777E+15
104.65354001844722,502844.0794523152,3.573150301515759E+6,9.596789899711705E+8,4.350987204369502E+15
654.7184335192229,3327.9786531763725,2845.4485122270085,353.2081632314177,2.1195806767684E+16
398.2808501354339,916.099579732412,8157.1692776157315,4.5642244354165125E+9,1.4829885032863664E+16
365.3467446111021,53599.10570009415,3.384658214611169E+6,4.256023563889919E+11,3.36544561923254E+15
107.09824061543489,3.376931993931329E+6,664438.2084778384,3600.3361419019,1.135480255726298E+16
627.5008917305955,1278.71261211436,14886.100025272817,8.369675553583367E+11,1.6443863577926128E+16
854.1322873818457,807.4141962194383,10793.082998842063,1.5083474574348493E+9,1.3404148010830606E+16
1090.3968218465118,2.036795300341783E+7,2.68487085630152E+8,5.752999046264277E+11,3.325588818179681E+15
